[RuntimeInitWindows 7] アウトラインエディタ,2,00:00:01'511
[RuntimeInitWindows 8] インスペクター開いていたもの開く,2,00:00:00'001
[InitWindows 8] インスペクター開いていたもの開く,1,00:00:00'224
[DelayAuth async] ログイン,1,00:00:02'654
[RpgMakerUniteWindow async],1,00:05:03'855
[RuntimeInitWindows 3] ヒエラルキー,2,00:00:00'809
[InitWindows 5] データベースエディタ,1,00:00:00'002
[InitWindows 3] ヒエラルキー,1,00:00:04'043
[SetWindows async] ウィンドウの設定,4,00:01:15'746
[RuntimeInitWindows 9] SetWindows,2,00:00:00'000
[RuntimeInitWindows 6] マップエディタ,2,00:00:00'088
[RuntimeInitWindows 2] 共通メニューウィンドウ,2,00:00:00'038
[InitWindows 6] マップエディタ,1,00:04:54'499
[AuthRpgMaker async 1] RpgMakerを認証。,1,00:00:02'511
[RuntimeInitWindows 5] データベースエディタ,2,00:00:00'003
[RuntimeInitWindows 1] 現在のモードがUnityモードであれば、Windowを作成せずに終了,2,00:00:00'000
[InitWindows 7] アウトラインエディタ,1,00:00:02'142
[AuthRpgMaker async 2] Migration.Migrate(),1,00:00:00'012
[InitWindows 1] 現在のモードがUnityモードであれば、Windowを作成せずに終了,3,00:00:00'000
[InitWindows 2] 共通メニューウィンドウ,3,00:00:00'027

