[RuntimeInitWindows 7] アウトラインエディタ,2,00:00:01'709
[RuntimeInitWindows 8] インスペクター開いていたもの開く,2,00:00:00'001
[InitWindows 8] インスペクター開いていたもの開く,1,00:00:00'237
[DelayAuth async] ログイン,1,00:00:02'425
[RpgMakerUniteWindow async],1,00:05:15'103
[RuntimeInitWindows 3] ヒエラルキー,2,00:00:00'774
[InitWindows 5] データベースエディタ,1,00:00:00'002
[InitWindows 3] ヒエラルキー,1,00:00:03'901
[SetWindows async] ウィンドウの設定,4,00:01:22'801
[RuntimeInitWindows 9] SetWindows,2,00:00:00'001
[RuntimeInitWindows 6] マップエディタ,2,00:00:00'111
[RuntimeInitWindows 2] 共通メニューウィンドウ,2,00:00:00'041
[InitWindows 6] マップエディタ,1,00:05:02'994
[AuthRpgMaker async 1] RpgMakerを認証。,1,00:00:02'278
[RuntimeInitWindows 5] データベースエディタ,2,00:00:00'004
[RuntimeInitWindows 1] 現在のモードがUnityモードであれば、Windowを作成せずに終了,2,00:00:00'000
[InitWindows 7] アウトラインエディタ,1,00:00:05'198
[AuthRpgMaker async 2] Migration.Migrate(),1,00:00:00'012
[InitWindows 1] 現在のモードがUnityモードであれば、Windowを作成せずに終了,3,00:00:00'000
[InitWindows 2] 共通メニューウィンドウ,3,00:00:00'056

