[RuntimeInitWindows 7] アウトラインエディタ,2,00:00:00'905
[RuntimeInitWindows 8] インスペクター開いていたもの開く,2,00:00:00'001
[InitWindows 8] インスペクター開いていたもの開く,1,00:00:00'208
[DelayAuth async] ログイン,1,00:00:02'077
[RpgMakerUniteWindow async],1,00:00:20'657
[RuntimeInitWindows 3] ヒエラルキー,2,00:00:00'746
[InitWindows 5] データベースエディタ,1,00:00:00'002
[InitWindows 3] ヒエラルキー,1,00:00:01'014
[SetWindows async] ウィンドウの設定,4,00:01:13'997
[RuntimeInitWindows 9] SetWindows,2,00:00:00'000
[RuntimeInitWindows 6] マップエディタ,2,00:00:00'073
[RuntimeInitWindows 2] 共通メニューウィンドウ,2,00:00:00'034
[InitWindows 6] マップエディタ,1,00:00:15'921
[AuthRpgMaker async 1] RpgMakerを認証。,1,00:00:01'940
[RuntimeInitWindows 5] データベースエディタ,2,00:00:00'000
[RuntimeInitWindows 1] 現在のモードがUnityモードであれば、Windowを作成せずに終了,2,00:00:00'000
[InitWindows 7] アウトラインエディタ,1,00:00:01'115
[AuthRpgMaker async 2] Migration.Migrate(),1,00:00:00'007
[InitWindows 1] 現在のモードがUnityモードであれば、Windowを作成せずに終了,3,00:00:00'000
[InitWindows 2] 共通メニューウィンドウ,3,00:00:00'012

