[RuntimeInitWindows 7] アウトラインエディタ,2,00:00:01'911
[RuntimeInitWindows 8] インスペクター開いていたもの開く,2,00:00:00'000
[InitWindows 8] インスペクター開いていたもの開く,1,00:00:00'242
[DelayAuth async] ログイン,1,00:00:02'669
[RpgMakerUniteWindow async],1,00:05:30'013
[RuntimeInitWindows 3] ヒエラルキー,2,00:00:00'822
[InitWindows 5] データベースエディタ,1,00:00:00'001
[InitWindows 3] ヒエラルキー,1,00:00:04'186
[SetWindows async] ウィンドウの設定,4,00:01:20'012
[RuntimeInitWindows 9] SetWindows,2,00:00:00'001
[RuntimeInitWindows 6] マップエディタ,2,00:00:00'100
[RuntimeInitWindows 2] 共通メニューウィンドウ,2,00:00:00'042
[InitWindows 6] マップエディタ,1,00:05:16'666
[AuthRpgMaker async 1] RpgMakerを認証。,1,00:00:02'543
[RuntimeInitWindows 5] データベースエディタ,2,00:00:00'004
[RuntimeInitWindows 1] 現在のモードがUnityモードであれば、Windowを作成せずに終了,2,00:00:00'000
[InitWindows 7] アウトラインエディタ,1,00:00:05'900
[AuthRpgMaker async 2] Migration.Migrate(),1,00:00:00'011
[InitWindows 1] 現在のモードがUnityモードであれば、Windowを作成せずに終了,3,00:00:00'000
[InitWindows 2] 共通メニューウィンドウ,3,00:00:00'059

