[RuntimeInitWindows 7] アウトラインエディタ,2,00:00:01'488
[RuntimeInitWindows 8] インスペクター開いていたもの開く,2,00:00:00'001
[InitWindows 8] インスペクター開いていたもの開く,1,00:00:00'224
[DelayAuth async] ログイン,1,00:00:02'322
[RpgMakerUniteWindow async],1,00:01:25'084
[RuntimeInitWindows 3] ヒエラルキー,2,00:00:00'740
[InitWindows 5] データベースエディタ,1,00:00:00'002
[InitWindows 3] ヒエラルキー,1,00:00:01'195
[SetWindows async] ウィンドウの設定,4,00:01:16'702
[RuntimeInitWindows 9] SetWindows,2,00:00:00'000
[RuntimeInitWindows 6] マップエディタ,2,00:00:00'086
[RuntimeInitWindows 2] 共通メニューウィンドウ,2,00:00:00'034
[InitWindows 6] マップエディタ,1,00:01:18'876
[AuthRpgMaker async 1] RpgMakerを認証。,1,00:00:02'190
[RuntimeInitWindows 5] データベースエディタ,2,00:00:00'003
[RuntimeInitWindows 1] 現在のモードがUnityモードであれば、Windowを作成せずに終了,2,00:00:00'000
[InitWindows 7] アウトラインエディタ,1,00:00:02'185
[AuthRpgMaker async 2] Migration.Migrate(),1,00:00:00'006
[InitWindows 1] 現在のモードがUnityモードであれば、Windowを作成せずに終了,3,00:00:00'000
[InitWindows 2] 共通メニューウィンドウ,3,00:00:00'017

