[RuntimeInitWindows 7] アウトラインエディタ,2,00:00:01'939
[RuntimeInitWindows 8] インスペクター開いていたもの開く,2,00:00:00'001
[InitWindows 8] インスペクター開いていたもの開く,1,00:00:00'272
[DelayAuth async] ログイン,1,00:00:02'012
[RpgMakerUniteWindow async],1,00:01:35'465
[RuntimeInitWindows 3] ヒエラルキー,2,00:00:00'817
[InitWindows 5] データベースエディタ,1,00:00:00'002
[InitWindows 3] ヒエラルキー,1,00:00:01'228
[SetWindows async] ウィンドウの設定,4,00:01:24'171
[RuntimeInitWindows 9] SetWindows,2,00:00:00'001
[RuntimeInitWindows 6] マップエディタ,2,00:00:00'107
[RuntimeInitWindows 2] 共通メニューウィンドウ,2,00:00:00'048
[InitWindows 6] マップエディタ,1,00:01:29'304
[AuthRpgMaker async 1] RpgMakerを認証。,1,00:00:01'890
[RuntimeInitWindows 5] データベースエディタ,2,00:00:00'004
[RuntimeInitWindows 1] 現在のモードがUnityモードであれば、Windowを作成せずに終了,2,00:00:00'000
[InitWindows 7] アウトラインエディタ,1,00:00:02'353
[AuthRpgMaker async 2] Migration.Migrate(),1,00:00:00'005
[InitWindows 1] 現在のモードがUnityモードであれば、Windowを作成せずに終了,3,00:00:00'000
[InitWindows 2] 共通メニューウィンドウ,3,00:00:00'016

